2020-04-19 13:04:852 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:597 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:520 INFO  HomePage :38 - Displaying Practice link : [[ChromeDriver: chrome on WINDOWS (747565235ce42597a146dd0ec66b6c01)] -> partial link text: Login]
2020-04-19 13:04:982 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:166 INFO  HomePage :45 - Displaying Login link : [[ChromeDriver: chrome on WINDOWS (54660a7db1d37003575190d6f9b7b88b)] -> partial link text: Login]
2020-04-19 13:04:854 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:278 INFO  HomePage :51 - Displaying Sign Up link : [[ChromeDriver: chrome on WINDOWS (966f438dcd1d49f1b832626384bf9910)] -> xpath: //a[@id='header-sign-up-btn']]
2020-04-19 13:04:220 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:182 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (8a0802edccd15511a04e69bdbbf4ff3c)] -> partial link text: Login]
2020-04-19 13:04:882 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:232 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (9c756f15e91d32ba4810e8351aa05dcd)] -> partial link text: Login]
2020-04-19 13:04:52 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (9c756f15e91d32ba4810e8351aa05dcd)] -> id: user_email]
2020-04-19 13:04:362 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (9c756f15e91d32ba4810e8351aa05dcd)] -> id: user_password]
2020-04-19 13:04:698 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (9c756f15e91d32ba4810e8351aa05dcd)] -> name: commit]
2020-04-19 13:04:355 INFO  BrowserSelector :21 - Launching Chrome Browser
2020-04-19 13:04:138 INFO  HomePage :64 - Clicking on Login link : [[ChromeDriver: chrome on WINDOWS (66eaf404d435ac873bafca1005bceb63)] -> partial link text: Login]
2020-04-19 13:04:405 INFO  LoginPage :50 - Entering Email : [[ChromeDriver: chrome on WINDOWS (66eaf404d435ac873bafca1005bceb63)] -> id: user_email]
2020-04-19 13:04:774 INFO  LoginPage :56 - Entering Password : [[ChromeDriver: chrome on WINDOWS (66eaf404d435ac873bafca1005bceb63)] -> id: user_password]
2020-04-19 13:04:349 INFO  LoginPage :63 - Clicking on Login Button: [[ChromeDriver: chrome on WINDOWS (66eaf404d435ac873bafca1005bceb63)] -> name: commit]
2020-04-19 13:04:541 INFO  LoginPage :69 - Getting the Alert Message : [[ChromeDriver: chrome on WINDOWS (66eaf404d435ac873bafca1005bceb63)] -> xpath: //div[@class='alert alert-danger']]
